instance,method,objective,lower_bound,path
20 NY,dualized,9454.47,9454.47,[2;8;7;9]
20 BAY,dualized,15332.6,15332.6,[15;11;1;20;17]
20 COL,dualized,7076.52,7076.52,[12;2;14;6;15]
40 NY,dualized,17330.1,17330.1,[24;33;8;38;15;39]
40 COL,dualized,15059.0,15059.0,[24;36;13;33;28;27]
40 BAY,dualized,12664.3,12664.3,[29;21;25;30;34;40]
60 COL,dualized,23914.2,23914.2,[53;52;56;58;51;44;43;28;27;60]
60 BAY,dualized,10633.3,10633.3,[21;39;42;34;44;59]
60 NY,dualized,31775.8,31775.8,[39;60;7;46;47;59;56]
80 NY,dualized,31775.8,31775.8,[39;60;63;66;47;44;56]
80 COL,dualized,14277.5,14277.5,[46;55;10;14;69;71;78;76]
80 BAY,dualized,10857.1,10857.1,[59;44;10;30;65;66;74]
100 NY,dualized,33931.0,33931.0,[51;61;39;60;17;66;47;78;96]
100 COL,dualized,25320.1,25320.1,[81;63;90;5;74;79;58;93;76;49;71;83]
100 BAY,dualized,10857.1,10857.1,[59;44;48;4;38;21;74]
120 BAY,dualized,12219.0,12219.0,[74;21;25;30;10;79;100;105]
120 COL,dualized,25582.6,25582.6,[81;59;62;21;30;29;58;93;97;78;71;83]
120 NY,dualized,30613.1,30613.1,[110;91;27;71;83;76;29;54;120]
140 NY,dualized,33079.2,33079.2,[134;98;114;97;44;100;87;63;60;54;120;140]
140 COL,dualized,24651.0,24651.0,[60;83;117;78;97;138;106;127;126;82;129]
140 BAY,dualized,15643.7,15643.7,[63;58;71;75;40;116;105;84;136]
160 BAY,dualized,13395.7,13395.7,[74;89;38;104;90;124;59;105;159]
160 COL,dualized,24651.0,24651.0,[60;83;71;49;76;93;58;101;126;143;129]
160 NY,dualized,31661.1,31661.1,[120;54;29;76;28;2;143;91;142;154]
180 NY,dualized,30750.7,30750.7,[120;122;127;51;157;161;156;26;3;2;129;133;142;154]
180 COL,dualized,33704.6,33704.6,[83;117;49;76;93;137;56;52;158;156;59;159;161]
180 BAY,dualized,13395.7,13395.7,[74;21;178;163;48;44;100;138;159]
200 COL,dualized,31845.7,31845.7,[161;159;59;26;5;52;56;137;184;148;49;71;83;196]
200 BAY,dualized,13395.7,13395.7,[74;89;103;30;48;44;167;164;159]
200 NY,dualized,30595.1,30595.1,[137;125;154;194;103;135;148;24;117;120;149]
250 BAY,dualized,19248.0,19248.0,[159;105;209;191;186;185;77;199;222;224]
250 NY,dualized,37057.4,37057.4,[147;82;172;184;197;198;191;187;108;240;199;228;204;239]
250 COL,dualized,32794.3,32794.3,[83;167;45;65;46;12;2;47;239;25;113;192;161]
300 BAY,dualized,21954.2,21954.2,[224;222;199;172;185;133;276;280;253;260;269]
300 COL,dualized,34605.3,34605.3,[83;60;110;217;46;86;219;121;145;25;222;261;161;260]
300 NY,dualized,35802.8,35802.8,[239;267;293;264;240;262;263;19;174;85;54;212;245;279]
350 BAY,dualized,21954.2,21954.2,[224;330;199;316;185;281;276;348;253;160;269]
350 COL,dualized,30611.0,30611.0,[215;308;273;71;27;9;33;34;67;24;270;302;347]
350 NY,dualized,41712.4,41712.4,[242;251;250;117;62;334;3;26;262;336;199;152;294;205;137;248;270;349]
400 BAY,dualized,32288.4,32288.4,[269;160;289;130;355;287;393;358;383;371;230;223;374;382]
400 NY,dualized,44441.9,44441.9,[242;227;366;112;50;183;26;262;336;353;361;351;151;347;305;349]
400 COL,dualized,39224.0,39224.0,[83;60;45;65;267;375;397;23;239;134;222;261;281;260;389]
450 NY,dualized,47080.7,47080.7,[279;443;381;226;301;69;289;187;363;240;353;361;351;151;450;373;354;431]
450 COL,dualized,39224.0,39224.0,[83;60;45;312;46;444;397;313;239;336;113;301;281;260;389]
450 BAY,dualized,32288.4,32288.4,[269;440;268;325;418;287;393;358;224;215;119;267;422;382]
500 BAY,dualized,38097.9,38097.9,[466;488;160;164;456;476;287;393;433;224;109;498;481]
500 NY,dualized,48093.4,48093.4,[463;461;434;313;351;451;353;336;108;364;453;50;62;402;381;490;393;280;488]
500 COL,dualized,39224.0,39224.0,[83;310;45;217;46;12;219;457;114;25;222;192;281;352;389]
550 NY,dualized,47814.4,47814.4,[463;461;434;360;406;335;439;407;363;109;453;174;197;226;481;490;516;458;488]
550 BAY,dualized,22317.2,22317.2,[413;426;471;541;65;538;549;32;256;475;476;493;373;537]
550 COL,dualized,39224.0,39224.0,[83;259;64;65;360;538;10;8;37;25;222;301;346;260;389]
600 BAY,dualized,34634.2,34634.2,[269;284;105;209;290;586;531;433;535;478;212;240;587;567;588]
600 COL,dualized,39224.0,39224.0,[83;567;45;552;46;86;41;1;453;527;317;261;211;352;389]
600 NY,dualized,47814.4,47814.4,[463;461;549;313;568;361;353;240;363;109;243;69;197;402;586;281;393;458;488]
650 BAY,dualized,34634.2,34634.2,[269;608;591;623;191;493;393;540;497;215;625;240;587;642;588]
650 COL,dualized,39224.0,39224.0,[83;84;311;65;85;582;16;34;616;621;317;301;281;601;389]
650 NY,dualized,43329.1,43329.1,[576;385;382;539;456;320;444;360;396;392;415;128;106;105;313;120;348;620;478;621]
700 NY,dualized,43329.1,43329.1,[576;595;382;513;151;496;324;581;396;641;26;3;50;62;402;435;348;349;646;621]
700 BAY,dualized,46226.9,46226.9,[664;669;630;615;625;109;570;540;531;586;611;184;428;608;488;674;524;677]
700 COL,dualized,39224.0,39224.0,[83;167;45;312;581;699;10;619;453;527;222;192;346;352;389]
750 NY,dualized,43624.9,43624.9,[621;646;349;348;740;313;709;522;84;281;641;240;715;324;695;713;578;691;707]
750 BAY,dualized,46226.9,46227.0,[664;534;663;267;661;109;445;433;393;493;418;698;741;160;733;674;734;677]
750 COL,dualized,39224.0,39224.0,[83;480;64;65;581;86;87;121;68;134;584;301;161;601;389]
800 NY,dualized,43624.9,43624.9,[621;478;349;348;268;313;555;198;587;26;108;396;581;324;695;443;578;758;707]
800 COL,dualized,39224.0,39224.0,[83;167;45;650;85;283;2;766;199;728;113;301;161;260;389]
800 BAY,dualized,40198.4,40198.4,[588;567;394;432;492;510;782;433;531;381;355;508;479;748;766]
850 COL,dualized,29672.8,29672.8,[213;188;526;499;22;791;39;1;20;745;117;724;576;666]
850 BAY,dualized,42201.1,42201.1,[659;656;642;628;717;785;625;456;595;424;516;165;783;817;698;786]
850 NY,dualized,43329.1,43329.1,[576;595;596;539;592;651;640;581;696;838;766;19;2;85;465;268;256;620;478;621]
900 BAY,dualized,54240.2,54240.2,[820;659;878;755;734;896;216;873;670;559;875;731;165;109;177;666;773;844;854]
900 COL,dualized,29672.8,29672.8,[213;188;596;499;839;897;735;890;158;577;117;724;710;666]
900 NY,dualized,43329.1,43329.1,[576;595;382;678;151;359;444;581;582;447;109;787;552;555;845;268;348;349;759;621]
950 COL,dualized,29672.8,29672.8,[213;188;162;465;726;139;433;816;20;512;280;724;710;666]
950 BAY,dualized,54240.2,54240.2,[820;919;878;642;628;348;452;112;600;438;875;943;335;109;177;371;432;746;854]
950 NY,dualized,43329.1,43329.1,[576;595;382;708;364;320;444;581;582;641;415;800;182;901;687;268;619;349;646;621]
1000 BAY,dualized,48250.0,48250.0,[659;878;578;233;206;313;205;996;331;424;330;310;395;994;966;965;993]
1000 COL,dualized,29672.8,29672.8,[213;188;230;70;22;559;873;1;20;964;864;319;576;666]
1000 NY,dualized,43329.1,43329.1,[576;707;689;678;677;651;923;916;325;838;415;102;18;105;117;995;256;620;759;621]
1100 BAY,dualized,70226.3,70226.3,[820;910;541;1053;316;758;658;457;559;424;926;1045;859;454;975;786;990;890;1038;1082;1099]
1100 COL,dualized,42766.5,37464.3,[88;189;1033;467;904;568;484;628;787;185;383;1030;696;529;1053]
1100 NY,dualized,70089.2,70082.2,[621;759;620;256;829;149;589;584;1093;855;866;697;326;447;696;581;324;695;655;959;1095;1066]
1200 NY,dualized,72566.0,72566.0,[1066;1095;578;938;239;1153;360;696;447;856;697;866;855;1044;1070;1117;617;864;517;646;1118;1144]
1200 BAY,dualized,76338.2,76338.2,[1099;1082;1115;890;1127;1046;698;928;859;989;516;888;559;936;861;902;1159;860;900;970;792;826;1177]
1200 COL,dualized,42766.5,37445.0,[88;189;213;518;687;967;406;359;210;1004;150;945;554;529;1053]
