instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/1000_USA-road-d.BAY.gr,branch_and_cut,48250,45220.7,500.106,15961,742,40117,532,978,[659;656;488;233;113;60;112;218;331;424;330;165;716;718;698;786;993],1,173,1.81829
data/processed/1000_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1000_USA-road-d.NY.gr,branch_and_cut,43329,41362,500.097,27104,663,36723,661,767,[576;385;382;287;151;239;324;360;240;108;26;3;2;24;54;120;256;349;478;621],1,114,1.10396
data/processed/100_USA-road-d.BAY.gr,branch_and_cut,10857.1,10857.1,0.564551,507,139,8818,122,144,[59;44;10;4;3;21;74],1,23,0.007413
data/processed/100_USA-road-d.COL.gr,branch_and_cut,25320.2,25320.2,0.588725,820,132,18930,126,132,[81;59;26;21;22;56;92;93;76;49;71;83],1,86,0.013701
data/processed/100_USA-road-d.NY.gr,branch_and_cut,33931,33931,0.461911,674,91,23548,89,112,[51;29;39;15;7;16;47;55;96],1,19,0.003821
data/processed/1100_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1100_USA-road-d.COL.gr,branch_and_cut,42766.5,35086.8,500.217,9372,734,34075,681,737,[88;1008;213;396;172;112;141;87;111;61;481;653;1000;529;1053],1,110,1.7089
data/processed/1100_USA-road-d.NY.gr,branch_and_cut,70089.2,63107.5,500.121,18542,491,57273,359,492,[621;759;1028;256;527;283;264;242;1093;855;866;697;585;392;325;916;324;651;323;578;1095;1066],1,301,2.46391
data/processed/1200_USA-road-d.BAY.gr,branch_and_cut,76338.2,67184,500.144,4791,401,64808,357,402,[1099;1082;1115;890;1127;1046;851;817;859;405;926;888;946;936;861;902;1159;490;994;970;939;826;1177],1,142,1.65958
data/processed/1200_USA-road-d.COL.gr,branch_and_cut,42766.5,34598.5,500.249,4017,794,34075,734,799,[88;189;537;188;260;182;861;87;293;110;938;330;309;529;1053],1,41,0.851266
data/processed/1200_USA-road-d.NY.gr,branch_and_cut,72566,72566,257.645,3347,352,59590,283,358,[1066;691;959;443;239;923;360;325;447;585;697;866;855;694;1070;1117;617;298;517;646;722;1144],1,526,4.96386
data/processed/120_USA-road-d.BAY.gr,branch_and_cut,12219,12219,2.87735,3334,169,10034,149,177,[74;89;3;4;10;79;59;105],1,93,0.034871
data/processed/120_USA-road-d.COL.gr,branch_and_cut,25582.6,25582.6,0.914907,1119,138,18951,136,145,[81;59;26;5;30;29;58;93;76;49;71;83],1,33,0.009236
data/processed/120_USA-road-d.NY.gr,branch_and_cut,30613.1,30613.1,6.25753,5945,132,22912,126,141,[110;91;27;2;1;4;29;54;120],1,65,0.01732
data/processed/1300_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1300_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1300_USA-road-d.NY.gr,branch_and_cut,67883.9,67883.9,17.455,396,371,55547,291,371,[1144;621;478;517;1053;617;1117;1070;1044;1068;866;697;326;280;240;360;1207;579;1235;1223;578;1095;1271;1296],1,71,0.816581
data/processed/1400_USA-road-d.BAY.gr,branch_and_cut,79995.3,73000.9,500.235,3334,439,69022,392,442,[1177;1161;1334;771;825;770;1333;1237;1160;581;1148;424;330;510;520;1367;1332;1288;1272;1153;1127;1152;1381;1363;1323;1338],1,153,2.17141
data/processed/1400_USA-road-d.COL.gr,branch_and_cut,42505.7,32883.9,500.303,3201,937,34075,863,943,[88;189;1238;396;233;151;104;87;534;110;292;388;554;529;1053],1,110,2.62127
data/processed/1400_USA-road-d.NY.gr,branch_and_cut,67883.9,67883.9,70.8025,935,394,55547,306,401,[1144;621;478;721;758;617;1117;1070;1093;507;866;697;585;280;325;1220;324;579;1235;1223;578;1270;1066;1296],1,275,3.56044
data/processed/140_USA-road-d.BAY.gr,branch_and_cut,15643.7,15643.7,0.789706,247,189,12762,145,195,[63;15;4;48;40;116;105;84;136],1,26,0.013526
data/processed/140_USA-road-d.COL.gr,branch_and_cut,24651,24651,1.00034,671,153,18301,111,161,[60;83;71;78;97;138;92;127;126;108;129],1,124,0.034369
data/processed/140_USA-road-d.NY.gr,branch_and_cut,33079.2,33079.2,6.23952,7131,152,25919,150,169,[134;98;55;47;44;12;9;7;15;39;120;140],1,53,0.017648
data/processed/1500_USA-road-d.BAY.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1500_USA-road-d.COL.gr,branch_and_cut,,,,,,,,,,,,
data/processed/1500_USA-road-d.NY.gr,branch_and_cut,66475.5,66475.5,56.0472,460,342,53912,305,351,[1144;621;646;517;618;617;1117;1070;1093;855;866;697;326;108;325;581;324;579;1235;1457;1469;1282;1296],1,194,2.78781
