instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/1000_USA-road-d.BAY.gr,dualized,48250.0,48250.0,195.604,9625.0,694.0,40117.0,516.0,978.0,[659;878;578;233;206;313;205;996;331;424;330;310;395;994;966;965;993],,,
data/processed/1000_USA-road-d.COL.gr,dualized,29672.8,29672.8,60.9739,91.0,842.0,24184.0,840.0,1086.0,[213;188;230;70;22;559;873;1;20;964;864;319;576;666],,,
data/processed/1000_USA-road-d.NY.gr,dualized,43329.1,43329.1,32.3109,102.0,663.0,36723.0,661.0,767.0,[576;707;689;678;677;651;923;916;325;838;415;102;18;105;117;995;256;620;759;621],,,
data/processed/100_USA-road-d.BAY.gr,dualized,10857.1,10857.1,0.625943,0.0,139.0,8818.0,122.0,144.0,[59;44;48;4;38;21;74],,,
data/processed/100_USA-road-d.COL.gr,dualized,25320.1,25320.1,0.509078,723.0,132.0,18930.0,126.0,132.0,[81;63;90;5;74;79;58;93;76;49;71;83],,,
data/processed/100_USA-road-d.NY.gr,dualized,33931.0,33931.0,0.522509,175.0,91.0,23548.0,89.0,112.0,[51;61;39;60;17;66;47;78;96],,,
data/processed/1100_USA-road-d.BAY.gr,dualized,70226.3,70226.3,239.174,9176,428,58490,368,429,[820;910;541;1053;316;758;658;457;559;424;926;1045;859;454;975;786;990;890;1038;1082;1099],1.0,0.0,0.0
data/processed/1100_USA-road-d.COL.gr,dualized,42766.5,37464.3,1200.35,15726,726,34075,681,737,[88;189;1033;467;904;568;484;628;787;185;383;1030;696;529;1053],1.0,0.0,0.0
data/processed/1100_USA-road-d.NY.gr,dualized,70089.2,70082.2,332.116,297068.0,491.0,57273.0,359.0,492.0,[621;759;620;256;829;149;589;584;1093;855;866;697;326;447;696;581;324;695;655;959;1095;1066],,,
data/processed/1200_USA-road-d.BAY.gr,dualized,76338.2,76338.2,58.4247,10210.0,401.0,64808.0,357.0,402.0,[1099;1082;1115;890;1127;1046;698;928;859;989;516;888;559;936;861;902;1159;860;900;970;792;826;1177],,,
data/processed/1200_USA-road-d.COL.gr,dualized,42766.5,37445.0,1200.73,15739,797,34075,734,799,[88;189;213;518;687;967;406;359;210;1004;150;945;554;529;1053],1.0,0.0,0.0
data/processed/1200_USA-road-d.NY.gr,dualized,72566.0,72566.0,42.0985,7351.0,354.0,59590.0,283.0,358.0,[1066;1095;578;938;239;1153;360;696;447;856;697;866;855;1044;1070;1117;617;864;517;646;1118;1144],,,
data/processed/120_USA-road-d.BAY.gr,dualized,12219.0,12219.0,1.18902,170.0,157.0,10034.0,140.0,177.0,[74;21;25;30;10;79;100;105],,,
data/processed/120_USA-road-d.COL.gr,dualized,25582.6,25582.6,0.68948,14.0,138.0,18951.0,136.0,145.0,[81;59;62;21;30;29;58;93;97;78;71;83],,,
data/processed/120_USA-road-d.NY.gr,dualized,30613.1,30613.1,0.786329,578.0,132.0,22912.0,126.0,141.0,[110;91;27;71;83;76;29;54;120],,,
data/processed/1300_USA-road-d.BAY.gr,dualized,76715.8,76715.8,275.035,32662,492,65917,394,492,[1099;1150;1115;1018;1127;1116;1084;1288;1273;1158;520;989;414;424;1266;936;1160;1237;671;938;994;1093;939;826;1177],1.0,0.0,0.0
