instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/retest_dualized/1100_USA-road-d.BAY.gr,dualized,70226.3,70226.3,239.174,9176,428,58490,368,429,[820;910;541;1053;316;758;658;457;559;424;926;1045;859;454;975;786;990;890;1038;1082;1099],1,0,0
data/retest_dualized/1100_USA-road-d.COL.gr,dualized,42766.5,37464.3,1200.35,15726,726,34075,681,737,[88;189;1033;467;904;568;484;628;787;185;383;1030;696;529;1053],1,0,0
data/retest_dualized/1100_USA-road-d.NY.gr,dualized,70089.2,70040.1,1200.17,319908,489,57273,359,492,[621;646;1028;348;996;840;1096;1017;1093;507;866;697;585;447;696;360;324;960;1016;578;1095;1066],1,0,0
data/retest_dualized/1200_USA-road-d.COL.gr,dualized,42766.5,37445,1200.73,15739,797,34075,734,799,[88;189;213;518;687;967;406;359;210;1004;150;945;554;529;1053],1,0,0
data/retest_dualized/1300_USA-road-d.BAY.gr,dualized,76715.8,76715.8,275.035,32662,492,65917,394,492,[1099;1150;1115;1018;1127;1116;1084;1288;1273;1158;520;989;414;424;1266;936;1160;1237;671;938;994;1093;939;826;1177],1,0,0
data/retest_dualized/1300_USA-road-d.COL.gr,dualized,42505.7,36412.7,1200.45,3790,873,34075,789,889,[88;473;331;1237;172;1288;861;181;210;171;1232;1178;554;529;1053],1,0,0
data/retest_dualized/1300_USA-road-d.NY.gr,dualized,67883.9,67883.9,38.5328,3710,371,55547,291,371,[1144;621;1054;875;477;1254;1117;1070;1093;1068;866;697;856;108;240;581;640;579;1235;1223;959;691;1271;1296],1,0,0
data/retest_dualized/1400_USA-road-d.COL.gr,dualized,42505.7,37971.9,1206.42,49582,940,34075,863,943,[88;189;213;518;401;1386;406;1059;955;171;1232;528;479;1001;1053],1,0,0
data/retest_dualized/1400_USA-road-d.NY.gr,dualized,67883.9,67883.9,38.3103,4079,392,55547,306,401,[1144;722;1390;721;1243;1082;1117;1070;1093;1068;866;697;326;108;582;1220;1153;579;1235;1223;1206;1270;1271;1296],1,0,0
data/retest_dualized/1500_USA-road-d.BAY.gr,dualized,79379.7,75750.8,1200.26,96310,522,67873,453,527,[1177;1161;1123;1093;994;582;671;1091;1235;850;1286;330;1045;859;1158;1332;1288;1469;1427;1443;1152;1381;1363;1323;1338],1,0,0
