instance,PR_inf,PR_sup,objective_plans_coupants,gap_plans_coupants,objective_branch_and_cut,gap_branch_and_cut,objective_dualized,gap_dualized,objective_heuristic,gap_heuristic
data/processed/20_USA-road-d.NY.gr,27.57,27.57,9454.47,0.0,9454.47,0.0,9454.47,0.0,9454.47,0.0
data/processed/20_USA-road-d.BAY.gr,38.92,38.92,15332.6,0.0,15332.6,0.0,15332.6,0.0,15656.5,2.07
data/processed/20_USA-road-d.COL.gr,24.3,24.3,7076.52,0.0,7076.52,0.0,7076.52,0.0,7076.52,0.0
data/processed/40_USA-road-d.NY.gr,28.39,28.39,17330.1,0.0,17330.1,0.0,17330.1,0.0,17330.1,0.0
data/processed/40_USA-road-d.COL.gr,33.04,33.04,15059.0,0.0,15059.0,0.0,15059.0,0.0,15059.0,0.0
data/processed/40_USA-road-d.BAY.gr,37.97,37.97,12664.3,0.0,12664.3,0.0,12664.3,0.0,12664.3,0.0
data/processed/60_USA-road-d.COL.gr,29.31,29.31,23914.2,0.0,23914.2,0.0,23914.2,0.0,23914.2,0.0
data/processed/60_USA-road-d.BAY.gr,34.5,34.5,10633.3,0.0,10633.3,0.0,10633.3,0.0,10633.3,0.0
data/processed/60_USA-road-d.NY.gr,61.47,61.47,31775.8,0.0,31775.8,0.0,31775.8,0.0,31775.8,0.0
data/processed/80_USA-road-d.NY.gr,61.47,61.47,31775.8,0.0,31775.8,0.0,31775.8,0.0,31775.8,0.0
data/processed/80_USA-road-d.COL.gr,23.71,23.71,14277.5,0.0,14277.5,0.0,14277.5,0.0,22378.5,36.2
data/processed/80_USA-road-d.BAY.gr,18.78,18.78,10857.1,0.0,10857.1,0.0,10857.1,0.0,12880.3,15.71
data/processed/100_USA-road-d.NY.gr,54.99,54.99,33931.0,0.0,33931.0,0.0,33931.0,0.0,33931.0,0.0
data/processed/100_USA-road-d.COL.gr,25.24,25.24,25320.2,0.0,25320.2,0.0,25320.1,0.0,25320.2,0.0
data/processed/100_USA-road-d.BAY.gr,18.78,18.78,10857.1,0.0,10857.1,0.0,10857.1,0.0,10857.1,0.0
data/processed/120_USA-road-d.BAY.gr,17.88,17.88,12219.0,0.0,12219.0,0.0,12219.0,0.0,12219.0,0.0
data/processed/120_USA-road-d.COL.gr,26.0,26.0,25582.6,0.0,25582.6,0.0,25582.6,0.0,31065.5,17.65
data/processed/120_USA-road-d.NY.gr,38.21,38.21,30613.1,0.0,30613.1,0.0,30613.1,0.0,31592.0,3.1
data/processed/140_USA-road-d.NY.gr,22.92,22.92,33079.2,0.0,33079.2,0.0,33079.2,0.0,39267.8,15.76
data/processed/140_USA-road-d.COL.gr,25.76,25.76,24651.0,0.0,24651.0,0.0,24651.0,0.0,27650.9,10.85
data/processed/140_USA-road-d.BAY.gr,22.21,22.21,15643.7,0.0,15643.7,0.0,15643.7,0.0,15643.7,0.0
data/processed/160_USA-road-d.BAY.gr,18.01,18.01,13395.7,0.0,13395.7,0.0,13395.7,0.0,13395.7,0.0
data/processed/160_USA-road-d.COL.gr,25.76,25.76,24651.0,0.0,24651.0,0.0,24651.0,0.0,27650.9,10.85
data/processed/160_USA-road-d.NY.gr,36.94,36.94,31661.1,0.0,31661.1,0.0,31661.1,0.0,32640.0,3.0
data/processed/180_USA-road-d.NY.gr,35.08,35.08,30750.7,0.0,30750.7,0.0,30750.7,0.0,32640.0,5.79
data/processed/180_USA-road-d.COL.gr,32.23,32.23,33704.6,0.0,33704.6,0.0,33704.6,0.0,36557.5,7.8
data/processed/180_USA-road-d.BAY.gr,18.01,18.01,13395.7,0.0,13395.7,0.0,13395.7,0.0,13395.7,0.0
data/processed/200_USA-road-d.COL.gr,24.99,24.99,31845.7,0.0,31845.7,0.0,31845.7,0.0,34466.7,7.6
data/processed/200_USA-road-d.BAY.gr,18.01,18.01,13395.7,0.0,13395.7,0.0,13395.7,0.0,14081.6,4.87
data/processed/200_USA-road-d.NY.gr,19.5,19.5,30595.1,0.0,30595.1,0.0,30595.1,0.0,30595.1,0.0
data/processed/250_USA-road-d.BAY.gr,25.98,25.98,19248.0,0.0,19248.0,0.0,19248.0,0.0,19248.0,0.0
data/processed/250_USA-road-d.NY.gr,21.38,21.38,37057.4,0.0,37057.4,0.0,37057.4,0.0,37057.4,0.0
data/processed/250_USA-road-d.COL.gr,24.13,24.13,32794.3,0.0,32794.3,0.0,32794.3,0.0,34677.4,5.43
data/processed/300_USA-road-d.BAY.gr,24.58,24.58,21954.2,0.0,21954.2,0.0,21954.2,0.0,21954.2,0.0
data/processed/300_USA-road-d.COL.gr,22.87,22.87,34605.3,0.0,34605.3,0.0,34605.3,0.0,36488.4,5.16
data/processed/300_USA-road-d.NY.gr,20.94,20.94,35802.8,0.0,35802.8,0.0,35802.8,0.0,35802.8,0.0
data/processed/350_USA-road-d.BAY.gr,24.58,24.58,21954.2,0.0,21954.2,0.0,21954.2,0.0,21954.2,0.0
data/processed/350_USA-road-d.COL.gr,22.01,22.01,30611.0,0.0,30611.0,0.0,30611.0,0.0,30611.0,0.0
data/processed/350_USA-road-d.NY.gr,18.29,18.29,41712.4,0.0,41712.4,0.0,41712.4,0.0,45262.9,7.84
data/processed/400_USA-road-d.BAY.gr,19.04,19.04,32288.4,0.0,32288.4,0.0,32288.4,0.0,32288.4,0.0
data/processed/400_USA-road-d.NY.gr,26.96,26.96,44441.9,0.0,44441.9,0.0,44441.9,0.0,45262.9,1.81
data/processed/400_USA-road-d.COL.gr,21.62,21.62,39224.0,0.0,40704.5,3.64,39224.0,0.0,39911.2,1.72
data/processed/450_USA-road-d.NY.gr,16.22,16.22,47080.7,0.0,47080.7,0.0,47080.7,0.0,47080.7,0.0
data/processed/450_USA-road-d.COL.gr,21.62,21.62,39224.0,0.0,40704.5,3.64,39224.0,0.0,39911.2,1.72
data/processed/450_USA-road-d.BAY.gr,19.04,19.04,32288.4,0.0,32288.4,0.0,32288.4,0.0,32288.4,0.0
data/processed/500_USA-road-d.BAY.gr,26.1,26.1,38097.9,0.0,38097.9,0.0,38097.9,0.0,38097.9,0.0
data/processed/500_USA-road-d.NY.gr,17.41,17.41,48093.4,0.0,48093.4,0.0,48093.4,0.0,48093.4,0.0
data/processed/500_USA-road-d.COL.gr,21.62,21.62,39224.0,0.0,39653.8,1.08,39224.0,0.0,39911.2,1.72
data/processed/550_USA-road-d.NY.gr,16.93,16.93,47814.4,0.0,47814.4,0.0,47814.4,0.0,47814.4,0.0
data/processed/550_USA-road-d.BAY.gr,21.01,21.01,22317.2,0.0,22317.2,0.0,22317.2,0.0,22317.2,0.0
data/processed/550_USA-road-d.COL.gr,21.62,21.62,39605.0,0.96,39224.0,0.0,39224.0,0.0,39911.2,1.72
data/processed/600_USA-road-d.BAY.gr,17.37,17.37,34634.2,0.0,54388.1,36.32,34634.2,0.0,34849.9,0.62
data/processed/600_USA-road-d.COL.gr,21.62,21.62,39605.0,0.96,39224.0,0.0,39224.0,0.0,39911.2,1.72
data/processed/600_USA-road-d.NY.gr,16.93,16.93,47814.4,0.0,47814.4,0.0,47814.4,0.0,47814.4,0.0
data/processed/650_USA-road-d.BAY.gr,17.37,17.37,34634.2,0.0,34849.9,0.62,34634.2,0.0,34634.2,0.0
data/processed/650_USA-road-d.COL.gr,21.62,21.62,39605.0,0.96,39911.2,1.72,39224.0,0.0,39911.2,1.72
data/processed/650_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/700_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/700_USA-road-d.BAY.gr,17.19,17.19,46578.9,0.76,48015.3,3.72,46226.9,0.0,49188.9,6.02
data/processed/700_USA-road-d.COL.gr,21.62,21.62,39653.8,1.08,39224.0,0.0,39224.0,0.0,39911.2,1.72
data/processed/750_USA-road-d.NY.gr,17.58,17.58,43624.9,0.0,43624.9,0.0,43624.9,0.0,43624.9,0.0
data/processed/750_USA-road-d.BAY.gr,17.19,17.19,46226.9,0.0,48015.3,3.72,46226.9,0.0,49188.9,6.02
data/processed/750_USA-road-d.COL.gr,21.62,21.62,39653.8,1.08,40083.8,2.15,39224.0,0.0,39911.2,1.72
data/processed/800_USA-road-d.NY.gr,17.58,17.58,43624.9,0.0,43624.9,0.0,43624.9,0.0,43624.9,0.0
data/processed/800_USA-road-d.COL.gr,21.62,21.62,39653.8,1.08,41102.3,4.57,39224.0,0.0,40845.5,3.97
data/processed/800_USA-road-d.BAY.gr,17.79,17.79,40198.4,0.0,40198.4,0.0,40198.4,0.0,48081.1,16.39
data/processed/850_USA-road-d.COL.gr,18.89,18.89,29904.8,0.78,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/850_USA-road-d.BAY.gr,16.71,16.71,42201.1,0.0,42201.1,0.0,42201.1,0.0,42707.0,1.18
data/processed/850_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/900_USA-road-d.BAY.gr,16.33,16.33,54274.2,0.06,54274.2,0.06,54240.2,0.0,61420.2,11.69
data/processed/900_USA-road-d.COL.gr,18.89,18.89,29904.8,0.78,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/900_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/950_USA-road-d.COL.gr,18.89,18.89,29904.8,0.78,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/950_USA-road-d.BAY.gr,16.33,16.33,54274.2,0.06,54274.2,0.06,54240.2,0.0,57297.6,5.34
data/processed/950_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/1000_USA-road-d.BAY.gr,16.86,16.86,48250.0,0.0,48250.0,0.0,48250.0,0.0,48738.7,1.0
data/processed/1000_USA-road-d.COL.gr,18.89,18.89,29904.8,0.78,29904.8,0.78,29672.8,0.0,29904.8,0.78
data/processed/1000_USA-road-d.NY.gr,16.34,16.34,43329.0,0.0,43329.0,0.0,43329.1,0.0,43841.3,1.17
data/processed/1100_USA-road-d.BAY.gr,22.88,22.88,1000000000.0,99.99,1000000000.0,99.99,70226.3,0.0,83140.0,15.53
data/processed/1100_USA-road-d.COL.gr,9.05,20.32,42766.5,12.4,42766.5,12.4,42766.5,12.4,42766.5,12.4
data/processed/1100_USA-road-d.NY.gr,29.58,29.59,1000000000.0,99.99,70089.2,0.01,70089.2,0.01,71656.2,2.2
data/processed/1200_USA-road-d.NY.gr,17.88,17.88,72566.0,0.0,72566.0,0.0,72566.0,0.0,72566.0,0.0
data/processed/1200_USA-road-d.BAY.gr,18.66,18.66,1000000000.0,99.99,76338.2,0.0,76338.2,0.0,76338.2,0.0
data/processed/1200_USA-road-d.COL.gr,9.0,20.32,42766.5,12.44,42766.5,12.44,42766.5,12.44,42766.5,12.44
data/processed/1300_USA-road-d.COL.gr,10.3,23.15,42505.7,14.33,42505.7,14.33,42505.7,14.33,42505.7,14.33
data/processed/1300_USA-road-d.NY.gr,18.17,18.17,67883.9,0.0,67883.9,0.0,67883.9,0.0,67883.9,0.0
data/processed/1300_USA-road-d.BAY.gr,21.28,21.28,1000000000.0,99.99,1000000000.0,99.99,76715.8,0.0,77217.7,0.65
data/processed/1400_USA-road-d.COL.gr,13.98,23.15,42505.7,10.67,42505.7,10.67,42505.7,10.67,42505.7,10.67
data/processed/1400_USA-road-d.BAY.gr,15.36,15.36,1000000000.0,99.99,79995.3,0.0,79995.3,0.0,79995.3,0.0
data/processed/1400_USA-road-d.NY.gr,18.26,18.26,67883.9,0.0,67883.9,0.0,67883.9,0.0,67883.9,0.0
data/processed/1500_USA-road-d.BAY.gr,11.31,15.36,1000000000.0,99.99,79379.7,4.57,79379.7,4.57,79379.7,4.57
data/processed/1500_USA-road-d.COL.gr,9.79,23.15,42505.7,14.81,42505.7,14.81,42505.7,14.81,42505.7,14.81
data/processed/1500_USA-road-d.NY.gr,18.9,18.9,66475.5,0.0,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1600_USA-road-d.BAY.gr,10.52,14.69,1000000000.0,99.99,81914.4,4.79,81809.7,4.66,81914.4,4.79
data/processed/1600_USA-road-d.COL.gr,6.75,19.83,42505.7,14.03,42505.7,14.03,42505.7,14.03,42505.7,14.03
data/processed/1600_USA-road-d.NY.gr,18.99,18.99,66475.5,0.0,66475.5,0.0,66475.5,0.0,66475.5,0.0
data/processed/1700_USA-road-d.BAY.gr,12.09,17.22,1000000000.0,99.99,70557.8,5.84,70557.8,5.84,70557.8,5.84
