instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/1000_USA-road-d.BAY.gr,plans_coupants,48250.0,45618.0,532.448,1718,694,40117,516,978,[659;878;578;233;299;313;298;927;850;875;943;335;783;454;966;786;993],1,54,0.170596
data/processed/1000_USA-road-d.COL.gr,plans_coupants,29904.8,26810.9,527.466,59,841,24068,839,1086,[213;835;965;912;993;15;925;978;883;858;711;618;576;666],1,63,0.261058
data/processed/1000_USA-road-d.NY.gr,plans_coupants,43329.0,42971.0,511.946,1957,663,36723,661,767,[576;707;754;539;942;359;923;581;910;906;415;939;886;988;977;652;799;773;478;621],1,54,0.137581
data/processed/100_USA-road-d.BAY.gr,plans_coupants,10857.1,10857.1,2.22155,241,139,8818,122,144,[59;44;10;4;3;41;74],1,16,0.002101
data/processed/100_USA-road-d.COL.gr,plans_coupants,25320.2,25320.2,16.1431,1489,132,18930,126,132,[81;59;26;21;74;56;92;93;76;49;71;83],1,82,0.007866
data/processed/100_USA-road-d.NY.gr,plans_coupants,33931.0,33931.0,1.66395,82,91,23548,89,112,[51;29;39;15;63;46;47;78;96],1,16,0.001764
data/processed/1100_USA-road-d.BAY.gr,plans_coupants,1e+09,57925.0,619.849,10723,487,58240,409,429,[820;910;541;933;934;234;967;581;595;577;1016;405;924;944;846;1081;890;845;867;1099],0,6,0.021456
data/processed/1100_USA-road-d.COL.gr,plans_coupants,42766.5,36425.2,501.152,200,736,34075,681,737,[88;362;1033;518;205;112;535;793;210;61;244;234;479;529;1053],1,49,0.216302
data/processed/1100_USA-road-d.NY.gr,plans_coupants,1e+09,65793.9,609.67,32462,509,57273,359,492,[621;478;620;256;120;149;589;242;442;855;866;697;585;108;325;916;324;359;443;578;691;1066],0,22,0.059401
data/processed/1200_USA-road-d.BAY.gr,plans_coupants,1e+09,64725.0,619.443,13412,404,64993,346,402,[1099;1150;1115;1152;1127;786;975;1047;969;989;1016;963;946;581;1160;902;1159;490;994;970;1123;826;1177],0,12,0.047824
data/processed/1200_USA-road-d.COL.gr,plans_coupants,42766.5,36425.2,508.689,79,797,34075,734,799,[88;1060;939;661;1180;1170;973;1091;1079;1004;1169;1030;1000;1001;1053],1,48,0.280869
data/processed/1200_USA-road-d.NY.gr,plans_coupants,72566.0,69940.5,512.916,463,357,59590,283,358,[1066;1095;959;938;960;923;916;696;641;856;697;866;855;1044;1070;1117;1082;864;1183;646;621;1144],1,62,0.173978
data/processed/120_USA-road-d.BAY.gr,plans_coupants,12219.0,12219.0,61.1565,1566,163,10034,143,177,[74;41;25;55;34;79;59;105],1,99,0.016649
