instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/1000_USA-road-d.BAY.gr,plans_coupants,48250,45186.7,306.869,0,694,40117,516,978,[659;878;578;233;299;313;298;927;850;875;943;335;783;454;966;786;993],1,27,0.133023
data/processed/1000_USA-road-d.COL.gr,plans_coupants,29904.8,25060.9,307.168,0,841,24068,839,1086,[213;536;637;800;945;135;17;85;955;512;557;543;576;666],1,39,0.264117
data/processed/1000_USA-road-d.NY.gr,plans_coupants,43329,41108.7,315.157,0,663,36723,661,767,[576;385;382;961;151;320;923;916;325;392;766;971;2;577;226;268;256;349;478;621],1,41,0.157473
data/processed/100_USA-road-d.BAY.gr,plans_coupants,10857.1,10857.1,3.41738,0,139,8818,122,144,[59;44;10;4;3;41;74],1,16,0.002477
data/processed/100_USA-road-d.COL.gr,plans_coupants,25320.2,25320.2,18.5788,0,132,18930,126,132,[81;59;26;21;74;56;92;93;76;49;71;83],1,82,0.008203
data/processed/100_USA-road-d.NY.gr,plans_coupants,33931,33931,2.97715,0,91,23548,89,112,[51;29;39;15;63;46;47;78;96],1,16,0.001977
data/processed/1100_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1100_USA-road-d.COL.gr,plans_coupants,42766.5,36425.2,313.359,0,736,34075,681,737,[88;189;1033;1045;464;207;956;793;293;61;150;653;479;1001;1053],1,21,0.153901
data/processed/1100_USA-road-d.NY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1200_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1200_USA-road-d.COL.gr,plans_coupants,42766.5,36425.2,305.901,0,799,34075,734,799,[88;189;331;188;172;151;973;903;111;505;150;234;309;529;1053],1,19,0.179757
data/processed/1200_USA-road-d.NY.gr,plans_coupants,72566,68673.9,303.483,0,355,59590,283,358,[1066;691;959;1016;359;1153;581;910;108;585;697;866;1068;1093;1070;1117;1082;298;517;478;621;1144],1,32,0.167129
data/processed/120_USA-road-d.BAY.gr,plans_coupants,12219,12219,57.3315,0,163,10034,143,177,[74;41;25;55;34;79;59;105],1,99,0.017184
data/processed/120_USA-road-d.COL.gr,plans_coupants,25582.6,25582.6,4.54352,0,138,18951,136,145,[81;59;90;77;30;56;106;93;97;78;117;83],1,19,0.002999
data/processed/120_USA-road-d.NY.gr,plans_coupants,30613.1,30613.1,25.0677,0,133,22912,127,141,[110;91;92;104;21;76;42;39;120],1,55,0.007628
data/processed/1300_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1300_USA-road-d.COL.gr,plans_coupants,42505.7,34075,302.211,0,885,34075,789,889,[88;362;1238;212;233;1235;1164;272;787;61;1043;330;554;529;1053],1,13,0.148321
data/processed/1300_USA-road-d.NY.gr,plans_coupants,67883.9,65500,314.66,0,371,55547,291,371,[1144;621;478;517;298;617;1117;1070;442;507;866;697;856;280;240;360;444;1171;1235;1223;578;691;1271;1296],1,18,0.117575
data/processed/1400_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1400_USA-road-d.COL.gr,plans_coupants,42505.7,34075,312.531,0,939,34075,863,943,[88;473;701;396;1180;833;236;599;1160;966;338;269;479;1001;1053],1,12,0.153135
data/processed/1400_USA-road-d.NY.gr,plans_coupants,67883.9,65500,307.301,0,400,55547,306,401,[1144;621;478;1183;1053;1082;1117;1070;1044;507;866;697;326;641;240;581;444;579;1235;1223;578;1349;1375;1296],1,20,0.149684
data/processed/140_USA-road-d.BAY.gr,plans_coupants,15643.7,15643.7,8.91329,0,188,12762,144,195,[63;72;83;48;40;116;138;84;136],1,30,0.007198
data/processed/140_USA-road-d.COL.gr,plans_coupants,24651,24651,88.0131,0,159,18301,117,161,[60;83;117;49;76;138;92;101;126;108;129],1,125,0.019847
data/processed/140_USA-road-d.NY.gr,plans_coupants,33079.2,33079.2,30.8927,0,152,25919,150,169,[134;98;55;68;59;64;118;86;41;54;120;140],1,42,0.007802
data/processed/1500_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1500_USA-road-d.COL.gr,plans_coupants,42505.7,34075,309.046,0,1006,34075,922,1006,[88;931;939;212;1349;921;535;138;482;185;481;1178;479;529;1053],1,9,0.125395
data/processed/1500_USA-road-d.NY.gr,plans_coupants,66475.5,62126.9,314.458,0,349,53912,305,351,[1144;1418;759;1488;298;617;1117;1070;442;855;866;1445;856;838;1430;1220;324;579;1235;1223;1469;1282;1296],1,12,0.110337
data/processed/1600_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
data/processed/1600_USA-road-d.COL.gr,plans_coupants,42505.7,34075,302.611,0,1032,34075,976,1033,[88;238;331;467;485;112;141;448;609;627;292;269;479;529;1053],1,10,0.180245
data/processed/1600_USA-road-d.NY.gr,plans_coupants,66475.5,62126.9,369.347,0,421,53912,319,425,[1133;621;478;1431;1159;617;1108;1070;1093;507;866;697;326;108;396;360;923;579;1240;1547;1554;1555;1307],1,10,0.095614
data/processed/160_USA-road-d.BAY.gr,plans_coupants,13395.7,13310.8,304.352,0,197,10983,180,220,[74;21;3;4;10;44;59;105;159],1,165,0.041434
data/processed/160_USA-road-d.COL.gr,plans_coupants,24651,24651,112.011,0,173,18301,131,184,[60;83;71;49;148;93;106;127;126;82;129],1,124,0.023683
data/processed/160_USA-road-d.NY.gr,plans_coupants,31661.1,31661.1,79.0404,0,174,23960,168,175,[120;54;127;113;1;152;27;91;110;154],1,73,0.014496
data/processed/1700_USA-road-d.BAY.gr,plans_coupants,,,,,,,,,,,,
