instance,method,objective,lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path,admissibility,nCallBacks,callBacksTimeSpan
data/processed/1000_USA-road-d.BAY.gr,static,48250,40117,2.99973,0,694,40117,516,978,[659;878;578;233;299;313;298;927;850;875;943;335;783;454;966;786;993],1,0,0
data/processed/1000_USA-road-d.COL.gr,static,29904.8,24068,4.54471,0,841,24068,839,1086,[213;536;637;800;945;135;17;85;955;512;557;543;576;666],1,0,0
data/processed/1000_USA-road-d.NY.gr,static,43841.3,36248,1.64137,0,618,36248,616,767,[576;454;751;323;359;640;360;910;906;187;306;32;24;273;527;348;773;478;621],1,0,0
data/processed/100_USA-road-d.BAY.gr,static,1e+09,8818,0.037136,0,151,8818,131,144,[59;79;34;55;25;21;74],0,0,0
data/processed/100_USA-road-d.COL.gr,static,25320.2,18930,0.074407,0,132,18930,126,132,[81;59;26;21;74;56;92;93;76;49;71;83],1,0,0
data/processed/100_USA-road-d.NY.gr,static,1e+09,15274,0.036888,0,114,15274,112,112,[51;42;4;28;18;81;55;96],0,0,0
data/processed/1100_USA-road-d.BAY.gr,static,1e+09,54157,4.21091,0,528,54157,427,429,[820;616;896;757;561;824;791;581;595;888;516;383;328;423;435;927;1018;845;1082;1099],0,0,0
data/processed/1100_USA-road-d.COL.gr,static,1e+09,34075,15.3885,0,740,34075,681,737,[88;362;213;613;687;568;775;793;184;110;1043;774;554;529;1053],0,0,0
data/processed/1100_USA-road-d.NY.gr,static,1e+09,49351,11.4578,47,625,49351,479,492,[621;481;726;483;647;142;60;141;516;289;312;462;247;335;526;707;1042;1066],0,0,0
data/processed/1200_USA-road-d.BAY.gr,static,1e+09,62095,6.81139,0,461,62095,401,402,[1099;1082;1115;1018;990;964;1061;718;395;383;330;888;850;823;861;902;901;490;1097;970;792;1161;1177],0,0,0
data/processed/1200_USA-road-d.COL.gr,static,42766.5,34075,13.7035,0,799,34075,734,799,[88;189;331;188;172;151;973;903;111;505;150;234;309;529;1053],1,0,0
data/processed/1200_USA-road-d.NY.gr,static,1e+09,59590,5.48983,0,361,59590,283,358,[1066;691;578;1016;695;444;581;240;447;326;697;866;507;694;1070;1117;1082;1053;517;478;1118;1144],0,0,0
data/processed/120_USA-road-d.BAY.gr,static,12219,10034,0.080683,0,163,10034,143,177,[74;41;25;55;34;79;59;105],1,0,0
data/processed/120_USA-road-d.COL.gr,static,1e+09,18930,0.095959,0,146,18930,144,145,[81;59;26;54;35;79;58;93;76;116;117;83],0,0,0
data/processed/120_USA-road-d.NY.gr,static,1e+09,18916,0.150279,0,145,18916,139,141,[110;96;114;97;59;64;118;48;60;54;120],0,0,0
data/processed/1300_USA-road-d.BAY.gr,static,1e+09,60392,11.7803,0,624,60392,491,492,[1099;1150;845;890;1081;846;423;395;591;731;577;595;457;861;902;503;582;825;970;1123;826;1177],0,0,0
data/processed/1300_USA-road-d.COL.gr,static,1e+09,32664,27.8488,0,986,32664,886,889,[88;397;307;12;510;1;809;512;870;606;1030;1228;529;1053],0,0,0
data/processed/1300_USA-road-d.NY.gr,static,1e+09,55547,6.60545,0,376,55547,291,371,[1144;1118;478;1278;1165;1082;1117;1070;1093;855;866;697;326;108;582;360;324;1171;1235;1223;578;1095;1066;1296],0,0,0
data/processed/1400_USA-road-d.BAY.gr,static,1e+09,67712,10.2024,0,486,67712,437,442,[1177;1161;939;862;502;1122;503;1178;218;559;577;1016;405;1236;1367;1332;1288;1084;1153;1127;1152;1224;1363;1323;1338],0,0,0
data/processed/1400_USA-road-d.COL.gr,static,1e+09,32664,32.7681,0,1036,32664,940,943,[88;788;487;901;663;390;219;159;557;1333;564;479;1285;1053],0,0,0
data/processed/1400_USA-road-d.NY.gr,static,1e+09,55490,18.8153,0,499,55490,396,401,[1144;722;646;1183;758;149;1155;765;1093;507;866;697;585;108;396;581;640;579;1235;1223;578;1095;1375;1296],0,0,0
data/processed/140_USA-road-d.BAY.gr,static,1e+09,12169,0.151514,0,201,12169,157,195,[63;39;104;48;124;100;105;130;136],0,0,0
