instance,PR_inf,PR_sup,objective_plans_coupants,gap_plans_coupants,objective_dualized,gap_dualized,objective_heuristic,gap_heuristic
data/processed/20_USA-road-d.NY.gr,38.06,38.06,9454.47,0.0,9454.47,0.0,9454.47,0.0
data/processed/20_USA-road-d.BAY.gr,63.72,63.72,15332.6,0.0,15332.6,0.0,15656.5,2.11
data/processed/20_USA-road-d.COL.gr,32.1,32.1,7076.52,0.0,7076.52,0.0,7076.52,0.0
data/processed/40_USA-road-d.NY.gr,39.65,39.65,17330.1,0.0,17330.1,0.0,17330.1,0.0
data/processed/40_USA-road-d.COL.gr,49.34,49.34,15059.0,0.0,15059.0,0.0,15059.0,0.0
data/processed/40_USA-road-d.BAY.gr,61.21,61.21,12664.3,0.0,12664.3,0.0,12664.3,0.0
data/processed/60_USA-road-d.COL.gr,41.47,41.47,23914.2,0.0,23914.2,0.0,23914.2,0.0
data/processed/60_USA-road-d.BAY.gr,52.67,52.67,10633.3,0.0,10633.3,0.0,10633.3,0.0
data/processed/60_USA-road-d.NY.gr,100.0,100.0,31775.8,0.0,31775.8,0.0,31775.8,0.0
data/processed/80_USA-road-d.NY.gr,100.0,100.0,31775.8,0.0,31775.8,0.0,31775.8,0.0
data/processed/80_USA-road-d.COL.gr,31.08,31.08,14277.5,0.0,14277.5,0.0,22378.5,56.74
data/processed/80_USA-road-d.BAY.gr,23.12,23.12,10857.1,0.0,10857.1,0.0,12880.3,18.63
data/processed/100_USA-road-d.NY.gr,100.0,100.0,33931.0,0.0,33931.0,0.0,33931.0,0.0
data/processed/100_USA-road-d.COL.gr,33.76,33.76,25320.2,0.0,25320.1,0.0,25320.2,0.0
data/processed/100_USA-road-d.BAY.gr,23.12,23.12,10857.1,0.0,10857.1,0.0,10857.1,0.0
data/processed/120_USA-road-d.BAY.gr,21.78,21.78,12219.0,0.0,12219.0,0.0,12219.0,0.0
data/processed/120_USA-road-d.COL.gr,35.14,35.14,25582.6,0.0,25582.6,0.0,31065.5,21.43
data/processed/120_USA-road-d.NY.gr,61.84,61.84,30613.1,0.0,30613.1,0.0,31592.0,3.2
data/processed/140_USA-road-d.NY.gr,29.73,29.73,33079.2,0.0,33079.2,0.0,39267.8,18.71
data/processed/140_USA-road-d.COL.gr,34.7,34.7,24651.0,0.0,24651.0,0.0,27650.9,12.17
data/processed/140_USA-road-d.BAY.gr,28.55,28.55,15643.7,0.0,15643.7,0.0,15643.7,0.0
data/processed/160_USA-road-d.BAY.gr,21.97,21.97,13395.7,0.0,13395.7,0.0,13395.7,0.0
data/processed/160_USA-road-d.COL.gr,34.7,34.7,24651.0,0.0,24651.0,0.0,27650.9,12.17
data/processed/160_USA-road-d.NY.gr,58.59,58.59,31661.1,0.0,31661.1,0.0,32640.0,3.09
data/processed/180_USA-road-d.NY.gr,54.03,54.03,30750.7,0.0,30750.7,0.0,32640.0,6.14
data/processed/180_USA-road-d.COL.gr,47.56,47.56,33704.6,0.0,33704.6,0.0,36557.5,8.46
data/processed/180_USA-road-d.BAY.gr,21.97,21.97,13395.7,0.0,13395.7,0.0,13395.7,0.0
data/processed/200_USA-road-d.COL.gr,33.32,33.32,31845.7,0.0,31845.7,0.0,34466.7,8.23
data/processed/200_USA-road-d.BAY.gr,21.97,21.97,13395.7,0.0,13395.7,0.0,14081.6,5.12
data/processed/200_USA-road-d.NY.gr,24.23,24.23,30595.1,0.0,30595.1,0.0,30595.1,0.0
data/processed/250_USA-road-d.BAY.gr,35.1,35.1,19248.0,0.0,19248.0,0.0,19248.0,0.0
data/processed/250_USA-road-d.NY.gr,27.19,27.19,37057.4,0.0,37057.4,0.0,37057.4,0.0
data/processed/250_USA-road-d.COL.gr,31.81,31.81,32794.3,0.0,32794.3,0.0,34677.4,5.74
data/processed/300_USA-road-d.BAY.gr,32.6,32.6,21954.2,0.0,21954.2,0.0,21954.2,0.0
data/processed/300_USA-road-d.COL.gr,29.65,29.65,34605.3,0.0,34605.3,0.0,36488.4,5.44
data/processed/300_USA-road-d.NY.gr,26.49,26.49,35802.8,0.0,35802.8,0.0,35802.8,0.0
data/processed/350_USA-road-d.BAY.gr,32.6,32.6,21954.2,0.0,21954.2,0.0,21954.2,0.0
data/processed/350_USA-road-d.COL.gr,28.21,28.21,30611.0,0.0,30611.0,0.0,30611.0,0.0
data/processed/350_USA-road-d.NY.gr,22.39,22.39,41712.4,0.0,41712.4,0.0,45262.9,8.51
data/processed/400_USA-road-d.BAY.gr,23.52,23.52,32288.4,0.0,32288.4,0.0,32288.4,0.0
data/processed/400_USA-road-d.NY.gr,36.91,36.91,44441.9,0.0,44441.9,0.0,45262.9,1.85
data/processed/400_USA-road-d.COL.gr,27.59,27.59,39224.0,0.0,39224.0,0.0,39911.2,1.75
data/processed/450_USA-road-d.NY.gr,19.35,19.35,47080.7,0.0,47080.7,0.0,47080.7,0.0
data/processed/450_USA-road-d.COL.gr,27.59,27.59,39605.0,0.97,39224.0,0.0,39911.2,1.75
data/processed/450_USA-road-d.BAY.gr,23.52,23.52,32288.4,0.0,32288.4,0.0,32288.4,0.0
data/processed/500_USA-road-d.BAY.gr,35.31,35.31,38097.9,0.0,38097.9,0.0,38097.9,0.0
data/processed/500_USA-road-d.NY.gr,21.08,21.08,48093.4,0.0,48093.4,0.0,48093.4,0.0
data/processed/500_USA-road-d.COL.gr,27.59,27.59,39605.0,0.97,39224.0,0.0,39911.2,1.75
data/processed/550_USA-road-d.NY.gr,20.38,20.38,47814.4,0.0,47814.4,0.0,47814.4,0.0
data/processed/550_USA-road-d.BAY.gr,26.6,26.6,22317.2,0.0,22317.2,0.0,22317.2,0.0
data/processed/550_USA-road-d.COL.gr,27.59,27.59,39653.8,1.1,39224.0,0.0,39911.2,1.75
